Gene ID,Gene Symbol,Description,Alpha-26yF-0018,Alpha-35yF-0028,Alpha-49yF-0015,Alpha-55yM-0021,Alpha-50yM-0037,Beta-50yM-0038,Beta-49yF-0016,Beta-35yF-0029,Beta-26yF-0019,Beta-55yM-0022,Chromosome,Start,End,Entrez ID,Gene Type
ENSG00000078369,GNB1,"guanine nucleotide binding protein (G protein), beta polypeptide 1 [Source:HGNC Symbol;Acc:4396]",3251,4824,4335,3729,2994,3427,3740,4226,3277,3779,chr1,1716729,1822495,2782,protein_coding
ENSG00000067606,PRKCZ,"protein kinase C, zeta [Source:HGNC Symbol;Acc:9412]",37,90,113,124,88,75,85,79,47,135,chr1,1981909,2116834,5590,protein_coding
ENSG00000162585,C1orf86,chromosome 1 open reading frame 86 [Source:HGNC Symbol;Acc:26428],86,58,129,111,108,132,94,229,77,102,chr1,2115903,2144159,199990,protein_coding
ENSG00000157933,SKI,v-ski avian sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:10896],416,608,638,511,400,426,531,200,222,459,chr1,2160134,2241558,6497,protein_coding
ENSG00000157916,RER1,RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:30309],883,875,769,708,865,912,683,919,720,661,chr1,2323267,2336883,11079,protein_coding
ENSG00000157873,TNFRSF14,"tumor necrosis factor receptor superfamily, member 14 [Source:HGNC Symbol;Acc:11912]",41,52,44,195,125,170,137,107,91,297,chr1,2487078,2496821,8764,protein_coding
ENSG00000157870,FAM213B,"family with sequence similarity 213, member B [Source:HGNC Symbol;Acc:28390]",161,72,117,117,100,29,63,39,57,54,chr1,2517930,2522908,127281,protein_coding
ENSG00000142611,PRDM16,PR domain containing 16 [Source:HGNC Symbol;Acc:14000],123,115,67,73,77,67,144,27,38,77,chr1,2985732,3355185,63976,protein_coding
ENSG00000158109,TPRG1L,tumor protein p63 regulated 1-like [Source:HGNC Symbol;Acc:27007],347,527,421,439,469,939,551,644,530,644,chr1,3541566,3546691,127262,protein_coding
ENSG00000116213,WRAP73,"WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:12759]",51,125,76,90,41,53,90,34,34,39,chr1,3547331,3569325,49856,protein_coding
ENSG00000130764,LRRC47,leucine rich repeat containing 47 [Source:HGNC Symbol;Acc:29207],337,449,408,384,264,406,554,400,375,559,chr1,3696784,3713068,57470,protein_coding
ENSG00000116198,CEP104,centrosomal protein 104kDa [Source:HGNC Symbol;Acc:24866],507,491,1271,1501,1063,1318,1561,581,571,860,chr1,3728645,3773778,9731,protein_coding
ENSG00000198912,C1orf174,chromosome 1 open reading frame 174 [Source:HGNC Symbol;Acc:27915],163,497,306,490,420,399,275,295,199,574,chr1,3805689,3816857,339448,protein_coding
ENSG00000131697,NPHP4,nephronophthisis 4 [Source:HGNC Symbol;Acc:19104],516,337,492,736,910,211,301,138,195,141,chr1,5922871,6052533,261734,protein_coding
ENSG00000116251,RPL22,ribosomal protein L22 [Source:HGNC Symbol;Acc:10315],2897,5757,2970,3720,3353,4881,3030,5557,2917,3959,chr1,6241329,6269449,6146,protein_coding
ENSG00000158286,RNF207,ring finger protein 207 [Source:HGNC Symbol;Acc:32947],237,96,326,375,592,205,174,43,70,42,chr1,6265535,6281359,388591,protein_coding
ENSG00000116237,ICMT,isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:5350],1056,1110,1282,1388,1284,972,1107,1318,1043,777,chr1,6281253,6296032,23463,protein_coding
ENSG00000097021,ACOT7,acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:24157],102,228,103,56,78,36,69,61,126,28,chr1,6324329,6454451,11332,protein_coding
ENSG00000162408,NOL9,nucleolar protein 9 [Source:HGNC Symbol;Acc:26265],505,1045,675,493,530,329,575,530,352,365,chr1,6581407,6614595,79707,protein_coding
ENSG00000204859,ZBTB48,zinc finger and BTB domain containing 48 [Source:HGNC Symbol;Acc:4930],227,215,203,97,145,145,91,184,154,125,chr1,6640061,6649340,3104,protein_coding
ENSG00000162413,KLHL21,kelch-like family member 21 [Source:HGNC Symbol;Acc:29041],113,78,67,152,95,166,67,249,103,364,chr1,6650784,6674667,9903,protein_coding
ENSG00000116273,PHF13,PHD finger protein 13 [Source:HGNC Symbol;Acc:22983],142,143,82,98,71,86,129,76,53,152,chr1,6673745,6684093,148479,protein_coding
ENSG00000041988,THAP3,"THAP domain containing, apoptosis associated protein 3 [Source:HGNC Symbol;Acc:20855]",78,100,122,98,103,87,115,51,39,133,chr1,6684926,6695646,90326,protein_coding
ENSG00000007923,DNAJC11,"DnaJ (Hsp40) homolog, subfamily C, member 11 [Source:HGNC Symbol;Acc:25570]",159,429,232,267,185,272,223,208,136,186,chr1,6694228,6761984,55735,protein_coding
ENSG00000171735,CAMTA1,calmodulin binding transcription activator 1 [Source:HGNC Symbol;Acc:18806],732,514,674,519,860,909,1334,664,811,1526,chr1,6845384,7829766,23261,protein_coding
ENSG00000049245,VAMP3,vesicle-associated membrane protein 3 [Source:HGNC Symbol;Acc:12644],1457,2211,1390,1883,1925,2530,1630,2393,1994,1491,chr1,7831329,7841492,9341,protein_coding
ENSG00000049246,PER3,period circadian clock 3 [Source:HGNC Symbol;Acc:8847],2857,4374,848,1814,3563,2515,1936,3431,3453,4149,chr1,7844380,7905237,8863,protein_coding
ENSG00000116288,PARK7,parkinson protein 7 [Source:HGNC Symbol;Acc:16369],709,1862,1370,1420,1564,1728,1289,1368,1454,1237,chr1,8014351,8045565,11315,protein_coding
ENSG00000116285,ERRFI1,ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:18185],4306,2896,2266,3463,4235,5050,3078,52221,3820,5336,chr1,8064464,8086368,54206,protein_coding
ENSG00000142599,RERE,arginine-glutamic acid dipeptide (RE) repeats [Source:HGNC Symbol;Acc:9965],3277,3207,2745,2860,2988,3922,2935,3764,3553,5030,chr1,8412457,8877702,473,protein_coding
ENSG00000074800,ENO1,"enolase 1, (alpha) [Source:HGNC Symbol;Acc:3350]",942,905,1581,833,537,1631,1477,1187,1389,2072,chr1,8921061,8939308,2023,protein_coding
ENSG00000049239,H6PD,hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) [Source:HGNC Symbol;Acc:4795],507,208,353,224,219,116,270,280,258,199,chr1,9294834,9331396,9563,protein_coding
ENSG00000171612,SLC25A33,"solute carrier family 25 (pyrimidine nucleotide carrier), member 33 [Source:HGNC Symbol;Acc:29681]",256,465,133,327,269,91,61,53,91,98,chr1,9599541,9645237,84275,protein_coding
ENSG00000188807,TMEM201,transmembrane protein 201 [Source:HGNC Symbol;Acc:33719],106,154,165,120,126,100,93,91,96,85,chr1,9648932,9674935,199953,protein_coding
ENSG00000171608,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta [Source:HGNC Symbol;Acc:8977]",150,180,174,77,67,90,373,112,187,66,chr1,9711790,9789172,5293,protein_coding
ENSG00000171603,CLSTN1,calsyntenin 1 [Source:HGNC Symbol;Acc:17447],744,1315,919,1001,1166,1375,1304,1947,1264,1288,chr1,9789084,9884584,22883,protein_coding
ENSG00000178585,CTNNBIP1,"catenin, beta interacting protein 1 [Source:HGNC Symbol;Acc:16913]",160,283,175,138,157,88,116,153,180,145,chr1,9908334,9970394,56998,protein_coding
ENSG00000162441,LZIC,leucine zipper and CTNNBIP1 domain containing [Source:HGNC Symbol;Acc:17497],316,576,545,513,496,625,424,376,275,298,chr1,9982173,10003465,84328,protein_coding
ENSG00000130939,UBE4B,ubiquitination factor E4B [Source:HGNC Symbol;Acc:12500],1687,2262,2475,1522,1539,2253,3589,2489,2545,2324,chr1,10092890,10241297,10277,protein_coding
ENSG00000054523,KIF1B,kinesin family member 1B [Source:HGNC Symbol;Acc:16636],6141,3626,3380,4829,4946,6102,3755,3694,6967,3843,chr1,10270863,10441661,23095,protein_coding
ENSG00000142657,PGD,phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:8891],336,575,679,489,661,496,455,534,461,260,chr1,10458649,10480201,5226,protein_coding
ENSG00000175279,APITD1,"apoptosis-inducing, TAF9-like domain 1 [Source:HGNC Symbol;Acc:23163]",97,53,115,154,107,172,178,178,95,91,chr1,10490159,10512210,,protein_coding
ENSG00000251503,APITD1-CORT,APITD1-CORT readthrough [Source:HGNC Symbol;Acc:38843],43,28,57,58,47,67,64,89,42,27,chr1,10490159,10512210,100526739,protein_coding
ENSG00000160049,DFFA,"DNA fragmentation factor, 45kDa, alpha polypeptide [Source:HGNC Symbol;Acc:2772]",293,393,608,715,557,528,441,435,253,465,chr1,10516579,10532583,1676,protein_coding
ENSG00000142655,PEX14,peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:8856],31,55,82,48,47,26,59,117,76,46,chr1,10532345,10690815,5195,protein_coding
ENSG00000130940,CASZ1,castor zinc finger 1 [Source:HGNC Symbol;Acc:26002],226,130,249,170,113,194,444,620,751,268,chr1,10696661,10856707,54897,protein_coding
ENSG00000120948,TARDBP,TAR DNA binding protein [Source:HGNC Symbol;Acc:11571],3123,5626,3434,3973,6672,5637,3906,4022,4601,2425,chr1,11072414,11085796,23435,protein_coding
ENSG00000009724,MASP2,mannan-binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:6902],1210,933,396,601,710,448,405,1175,1276,617,chr1,11086580,11107290,10747,protein_coding
ENSG00000116649,SRM,spermidine synthase [Source:HGNC Symbol;Acc:11296],123,237,264,141,99,338,406,419,460,170,chr1,11114641,11120081,6723,protein_coding
ENSG00000171824,EXOSC10,exosome component 10 [Source:HGNC Symbol;Acc:9138],799,1814,938,936,1127,997,948,1460,831,956,chr1,11126675,11159938,5394,protein_coding
ENSG00000198793,MTOR,mechanistic target of rapamycin (serine/threonine kinase) [Source:HGNC Symbol;Acc:3942],932,1295,1482,1121,1543,1379,1509,935,1168,557,chr1,11166592,11322564,2475,protein_coding
ENSG00000171819,ANGPTL7,angiopoietin-like 7 [Source:HGNC Symbol;Acc:24078],76,91,55,52,33,66,92,29,73,75,chr1,11249398,11256038,10218,protein_coding
ENSG00000120942,UBIAD1,UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:30791],65,180,149,111,138,138,137,271,98,124,chr1,11333263,11356106,29914,protein_coding
ENSG00000132879,FBXO44,F-box protein 44 [Source:HGNC Symbol;Acc:24847],383,454,306,388,315,377,212,246,374,360,chr1,11714432,11723384,93611,protein_coding
ENSG00000177000,MTHFR,methylenetetrahydrofolate reductase (NAD(P)H) [Source:HGNC Symbol;Acc:7436],252,681,347,276,226,158,349,363,254,207,chr1,11845780,11866977,4524,protein_coding
ENSG00000011021,CLCN6,"chloride channel, voltage-sensitive 6 [Source:HGNC Symbol;Acc:2024]",1523,2616,1228,1020,1019,1154,1109,1788,1377,1482,chr1,11866207,11903201,1185,protein_coding
ENSG00000116685,KIAA2013,KIAA2013 [Source:HGNC Symbol;Acc:28513],290,380,335,396,406,332,376,450,202,313,chr1,11979648,11986485,,protein_coding
ENSG00000083444,PLOD1,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:9081]",63,85,141,196,170,150,73,156,144,79,chr1,11994262,12035595,5351,protein_coding
ENSG00000116688,MFN2,mitofusin 2 [Source:HGNC Symbol;Acc:16877],482,1565,708,753,1007,1257,634,1345,549,659,chr1,12040238,12073571,9927,protein_coding
ENSG00000048707,VPS13D,vacuolar protein sorting 13 homolog D (S. cerevisiae) [Source:HGNC Symbol;Acc:23595],2898,2763,2594,2875,3397,2013,2160,2437,2452,1960,chr1,12290124,12572099,55187,protein_coding
ENSG00000162496,DHRS3,dehydrogenase/reductase (SDR family) member 3 [Source:HGNC Symbol;Acc:17693],184,147,44,71,105,195,102,145,112,71,chr1,12627939,12677737,9249,protein_coding
ENSG00000116731,PRDM2,"PR domain containing 2, with ZNF domain [Source:HGNC Symbol;Acc:9347]",4080,4681,3220,3005,4017,5119,3895,6659,4533,3370,chr1,14026693,14151574,7799,protein_coding
ENSG00000189337,KAZN,"kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:29173]",194,62,329,509,420,98,197,99,54,909,chr1,14925200,15444539,23254,protein_coding
ENSG00000171729,TMEM51,transmembrane protein 51 [Source:HGNC Symbol;Acc:25488],252,131,307,205,169,194,211,88,79,284,chr1,15479028,15546976,55092,protein_coding
ENSG00000142634,EFHD2,"EF-hand domain family, member D2 [Source:HGNC Symbol;Acc:28670]",1698,637,891,580,376,96,175,183,180,71,chr1,15736391,15756839,79180,protein_coding
ENSG00000116138,DNAJC16,"DnaJ (Hsp40) homolog, subfamily C, member 16 [Source:HGNC Symbol;Acc:29157]",374,616,808,688,582,644,923,438,508,632,chr1,15853308,15918874,23341,protein_coding
ENSG00000197312,DDI2,DNA-damage inducible 1 homolog 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:24578],1068,551,1584,1862,1509,1817,2712,731,1453,2528,chr1,15943995,15995539,,protein_coding
ENSG00000215695,RSC1A1,"regulatory solute carrier protein, family 1, member 1 [Source:HGNC Symbol;Acc:10458]",427,149,623,611,414,582,863,239,525,1060,chr1,15986364,15988217,,protein_coding
ENSG00000116786,PLEKHM2,"pleckstrin homology domain containing, family M (with RUN domain) member 2 [Source:HGNC Symbol;Acc:29131]",295,459,329,333,287,322,567,375,531,701,chr1,16010827,16061264,23207,protein_coding
ENSG00000162461,SLC25A34,"solute carrier family 25, member 34 [Source:HGNC Symbol;Acc:27653]",52,177,72,64,52,32,176,296,78,46,chr1,16062900,16067891,284723,protein_coding
ENSG00000162458,FBLIM1,filamin binding LIM protein 1 [Source:HGNC Symbol;Acc:24686],289,92,314,257,222,98,227,191,191,110,chr1,16083102,16113089,54751,protein_coding
ENSG00000065526,SPEN,"spen homolog, transcriptional regulator (Drosophila) [Source:HGNC Symbol;Acc:17575]",11413,11128,6636,5505,6335,5550,6950,8969,10326,7108,chr1,16174359,16266955,23013,protein_coding
ENSG00000116809,ZBTB17,zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:12936],82,93,117,101,66,181,182,227,312,103,chr1,16268364,16302627,7709,protein_coding
ENSG00000185519,FAM131C,"family with sequence similarity 131, member C [Source:HGNC Symbol;Acc:26717]",49,145,154,107,117,69,66,80,70,79,chr1,16384264,16400127,348487,protein_coding
ENSG00000037637,FBXO42,F-box protein 42 [Source:HGNC Symbol;Acc:29249],819,928,558,533,467,596,345,576,644,711,chr1,16573334,16678949,54455,protein_coding
ENSG00000055070,SZRD1,SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:30232],360,847,645,630,558,357,634,533,515,738,chr1,16679070,16724640,26099,protein_coding
ENSG00000187144,SPATA21,spermatogenesis associated 21 [Source:HGNC Symbol;Acc:28026],47,78,87,77,56,41,57,34,42,80,chr1,16713612,16763919,374955,protein_coding
ENSG00000157191,NECAP2,NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:25528],183,147,349,297,191,158,208,151,72,273,chr1,16767167,16786573,55707,protein_coding
ENSG00000219481,NBPF1,"neuroblastoma breakpoint family, member 1 [Source:HGNC Symbol;Acc:26088]",453,266,1148,546,551,634,877,120,328,423,chr1,16888814,16940057,,protein_coding
ENSG00000058453,CROCC,"ciliary rootlet coiled-coil, rootletin [Source:HGNC Symbol;Acc:21299]",75,91,96,112,125,178,85,154,124,127,chr1,17066768,17299474,9696,protein_coding
ENSG00000159363,ATP13A2,ATPase type 13A2 [Source:HGNC Symbol;Acc:30213],65,122,172,137,165,142,182,76,147,35,chr1,17312453,17338423,23400,protein_coding
ENSG00000117118,SDHB,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip) [Source:HGNC Symbol;Acc:10681]",292,277,333,382,212,352,340,345,216,457,chr1,17345217,17380665,6390,protein_coding
ENSG00000179051,RCC2,regulator of chromosome condensation 2 [Source:HGNC Symbol;Acc:30297],508,171,490,265,340,162,160,154,214,163,chr1,17733256,17766220,55920,protein_coding
ENSG00000074964,ARHGEF10L,Rho guanine nucleotide exchange factor (GEF) 10-like [Source:HGNC Symbol;Acc:25540],1261,559,1163,478,613,254,811,505,451,360,chr1,17866330,18024369,55160,protein_coding
ENSG00000169991,IFFO2,intermediate filament family orphan 2 [Source:HGNC Symbol;Acc:27006],65,33,70,97,72,100,124,133,68,121,chr1,19230775,19283180,126917,protein_coding
ENSG00000127481,UBR4,ubiquitin protein ligase E3 component n-recognin 4 [Source:HGNC Symbol;Acc:30313],8316,7121,7363,6665,7204,7814,7146,8495,10442,8168,chr1,19401000,19536770,23352,protein_coding
ENSG00000127463,EMC1,ER membrane protein complex subunit 1 [Source:HGNC Symbol;Acc:28957],1071,1524,734,569,924,775,796,1187,871,784,chr1,19542158,19578046,23065,protein_coding
ENSG00000053372,MRTO4,mRNA turnover 4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:18477],85,64,130,71,107,100,71,25,66,46,chr1,19578033,19586622,51154,protein_coding
ENSG00000053371,AKR7A2,"aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase) [Source:HGNC Symbol;Acc:389]",137,150,196,130,165,193,168,209,274,203,chr1,19630459,19638640,8574,protein_coding
ENSG00000040487,PQLC2,PQ loop repeat containing 2 [Source:HGNC Symbol;Acc:26001],149,93,134,147,102,129,113,50,101,69,chr1,19638820,19655794,54896,protein_coding
ENSG00000077549,CAPZB,"capping protein (actin filament) muscle Z-line, beta [Source:HGNC Symbol;Acc:1491]",1717,1227,1130,987,803,559,793,751,805,621,chr1,19665267,19812066,832,protein_coding
ENSG00000270136,MINOS1-NBL1,MINOS1-NBL1 readthrough [Source:HGNC Symbol;Acc:48338],409,566,357,384,501,570,283,407,341,224,chr1,19923473,19984549,,protein_coding
ENSG00000173436,MINOS1,mitochondrial inner membrane organizing system 1 [Source:HGNC Symbol;Acc:32068],879,1054,811,1013,816,1032,615,767,982,475,chr1,19923477,19956314,440574,protein_coding
ENSG00000162542,TMCO4,transmembrane and coiled-coil domains 4 [Source:HGNC Symbol;Acc:27393],79,62,109,139,169,164,192,147,153,157,chr1,20008706,20126438,255104,protein_coding
ENSG00000169914,OTUD3,OTU domain containing 3 [Source:HGNC Symbol;Acc:29038],428,547,358,370,457,735,631,602,698,832,chr1,20209006,20239438,23252,protein_coding
ENSG00000162543,UBXN10,UBX domain protein 10 [Source:HGNC Symbol;Acc:26354],250,339,79,104,169,471,166,667,885,351,chr1,20512578,20522541,127733,protein_coding
ENSG00000162545,CAMK2N1,calcium/calmodulin-dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:24190],6370,6871,6204,7298,7346,3038,5089,5674,6159,5122,chr1,20808884,20812713,55450,protein_coding
ENSG00000090432,MUL1,mitochondrial E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:25762],130,189,67,78,131,188,93,145,80,82,chr1,20825943,20834654,79594,protein_coding
ENSG00000158828,PINK1,PTEN induced putative kinase 1 [Source:HGNC Symbol;Acc:14581],584,595,749,593,748,827,809,913,1028,694,chr1,20959948,20978004,65018,protein_coding
ENSG00000244038,DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic) [Source:HGNC Symbol;Acc:2728],309,864,372,518,461,1021,709,1093,836,952,chr1,20978270,20988000,1650,protein_coding
ENSG00000127483,HP1BP3,"heterochromatin protein 1, binding protein 3 [Source:HGNC Symbol;Acc:24973]",1241,1891,2105,1473,1727,1728,2236,2256,1727,1411,chr1,21069154,21113816,50809,protein_coding
ENSG00000075151,EIF4G3,"eukaryotic translation initiation factor 4 gamma, 3 [Source:HGNC Symbol;Acc:3298]",5912,3980,6773,5935,5452,11018,8690,5958,8796,9117,chr1,21132963,21503377,8672,protein_coding
ENSG00000117298,ECE1,endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:3146],1304,960,1248,913,1011,1412,1204,1405,1222,1177,chr1,21543740,21671997,1889,protein_coding
ENSG00000142794,NBPF3,"neuroblastoma breakpoint family, member 3 [Source:HGNC Symbol;Acc:25076]",371,127,386,387,265,269,332,122,277,422,chr1,21766621,21811498,84224,protein_coding
ENSG00000076864,RAP1GAP,RAP1 GTPase activating protein [Source:HGNC Symbol;Acc:9858],755,1156,769,994,1269,533,215,413,181,424,chr1,21922708,21995801,5909,protein_coding
ENSG00000090686,USP48,ubiquitin specific peptidase 48 [Source:HGNC Symbol;Acc:18533],2547,3037,2498,3056,2824,3269,2681,3084,2790,4311,chr1,22004791,22110099,84196,protein_coding
ENSG00000070831,CDC42,cell division cycle 42 [Source:HGNC Symbol;Acc:1736],3242,2298,2606,2176,1454,1068,1846,1680,1592,1507,chr1,22379120,22419437,998,protein_coding
ENSG00000162552,WNT4,"wingless-type MMTV integration site family, member 4 [Source:HGNC Symbol;Acc:12783]",2588,1730,4371,2620,1992,1191,4687,3613,1921,1259,chr1,22443798,22470462,54361,protein_coding
ENSG00000184677,ZBTB40,zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:29045],285,586,1073,848,815,774,939,512,378,631,chr1,22778344,22857650,9923,protein_coding
ENSG00000004487,KDM1A,lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079],1172,1608,1324,1366,1659,1518,1209,1473,1469,1837,chr1,23345941,23410182,23028,protein_coding
ENSG00000169641,LUZP1,leucine zipper protein 1 [Source:HGNC Symbol;Acc:14985],1149,559,831,1005,915,532,465,713,310,351,chr1,23410516,23504301,7798,protein_coding
ENSG00000125944,HNRNPR,heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:5047],1787,3265,1614,1735,2434,2596,1679,1971,1752,1466,chr1,23630264,23670829,10236,protein_coding
ENSG00000125945,ZNF436,zinc finger protein 436 [Source:HGNC Symbol;Acc:20814],125,110,117,133,72,82,111,72,155,95,chr1,23685941,23695935,80818,protein_coding
ENSG00000142676,RPL11,ribosomal protein L11 [Source:HGNC Symbol;Acc:10301],3596,6588,4056,3859,3812,5933,3709,7347,3811,4975,chr1,24018269,24022915,6135,protein_coding
ENSG00000011007,TCEB3,"transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A) [Source:HGNC Symbol;Acc:11620]",731,830,640,715,627,1138,715,989,885,1056,chr1,24069645,24088549,6924,protein_coding
ENSG00000057757,PITHD1,PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1 [Source:HGNC Symbol;Acc:25022],1164,1268,671,819,575,1028,908,1056,1320,1365,chr1,24104895,24114722,57095,protein_coding
ENSG00000011009,LYPLA2,lysophospholipase II [Source:HGNC Symbol;Acc:6738],200,84,178,157,93,141,149,90,119,135,chr1,24117460,24122029,11313,protein_coding
ENSG00000117308,GALE,UDP-galactose-4-epimerase [Source:HGNC Symbol;Acc:4116],70,66,57,45,49,53,33,25,83,48,chr1,24122089,24127271,2582,protein_coding
ENSG00000117305,HMGCL,3-hydroxymethyl-3-methylglutaryl-CoA lyase [Source:HGNC Symbol;Acc:5005],237,231,165,183,176,165,278,191,155,234,chr1,24128375,24165110,3155,protein_coding
